Заголовок,Краткий текст,Класс,Уверенность,Причина
Энхерту от AstraZeneca эффективен при лечении рака молочной железы ранней стадии,"Фото: Akadet Guy/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.532,—
В городе Газа официально объявлено состояние катастрофического голода,"Фото: Anas-Mohammed/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5558,—
MSD ликвидирует исследовательский центр в Лондоне,"Фото: Gorodenkoff/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5202,—
AstraZeneca приостановила инвестиционный проект в Великобритании,"Фото: LADYMAYPIX/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5238,—
Препарат от Cytokinetics по эффективности превзошел стандарт лечения метопролол,"Фото: rsooll/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5064,—
В России стартовали поставки первого отечественного биоаналога для лечения слепоты из перечня ЖНВЛП,"Фото: ozrimoz/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5067,—
Ученые предупреждают о рисках набирающей популярность улиточной терапии,"Фото: Kat Ka/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5196,—
Novo Nordisk уступает позиции на рынке своему конкуренту Eli Lilly,"Фото: Sergey Nivens/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5579,—
ПРОМОМЕД выпустил препарат для борьбы с различными видами боли,"Фото: pathdoc/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5265,—
Ежегодный фармацевтический интернациональный лагерь инноваций ФИЛИН-2025,"Фото: adriaticfoto/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.554,—
Нижняя палата парламента Уругвая приняла законопроект об эвтаназии,"Фото: Stokkete/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5242,—
"Новинки в медицинских изданиях в сфере фармации, фармацевтики и здравоохранения","Читайте обновленный мастер-класс, успешно используйте полученные знания на практике и делитесь своими впечатлениями – мы, как и всегда, будем рады обратной связи! Рекомендации для врачей по ведению па...",Фармацевтика,0.7973,—
Обинутузумаб в России теперь может применяться для лечения волчаночного нефрита,"Фото: crystal light/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5095,—
В США возобновляет работу группа по обеспечению безопасности вакцин для детей,"Фото: Yuriy Golub/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Sh...",Здравоохранение и экспертные мнения,0.5479,—
В России начали внедрять сервис подписания согласий на участие в КИ в приложении,"Фото: thanmano/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.4891,—
Курение электронных сигарет вызывает повреждение эндотелия легочных сосудов,"Фото: Yta23/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",Здравоохранение и экспертные мнения,0.506,—
БИОТ 2025: праздник безопасности длиной в год,"Фото: Andrey Suslov/FOTODOM/Shutterstock 11-14 ноября 2025 годав московском «Крокус Экспо» проходило главное событие отрасли, объединяющее государство, бизнес и экспертное сообщество вокруг вопросов б...",—,0.2865,Низкая уверенность модели
Ученые доказали: осознанность и самосострадание помогают бороться с депрессией,"Фото: Jorm Sangsorn/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5591,—
Рост выручки ПРОМОМЕД составил 82%,"Фото: Jirsak/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.5184,—
Пожилые люди с плохим самочувствием могут восстановить здоровье за три года,"Фото: Lordn/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutters...",Здравоохранение и экспертные мнения,0.4868,—
Разработан хирургический скальпель с датчиком для интраоперационной диагностики,"Фото: ravipat/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5136,—
"Ученые доказали, что языковые центры мозга начинают работать до рождения","Фото: Demkat/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.4889,—
"Россияне прошли испытание Адлером: ВСК выявил самый опасный летний курорт, больше всего проблем у отдыхающих — с ЖКТ","Фото: Orla/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutterst...",Здравоохранение и экспертные мнения,0.4577,—
"Специалист рассказал, какие анализы подтверждают употребление вейпов","Фото: Aleksandr Yu/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5546,—
Бангладеш начинает кампанию по вакцинации детей против брюшного тифа,"Фото: Mahsun YILDIZ/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5572,—
"ЮНИСЕФ: Израиль запрещает ввоз в Газу 1,6 миллиона шприцев для вакцинации детей","Фото: Denis Anikin V/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5792,—
На здравоохранение в России до 2030 года дополнительно направят 1 триллион рублей,"Фото: Natali _ Mis/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5174,—
Кетоновые пищевые добавки предотвращают потерю мышечной массы при похудении,"Фото: Honeybee49/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5307,—
FDA одобрило препарат от Lilly для лечения прогрессирующего рака молочной железы,"Фото: Axel_Kock/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shut...",Здравоохранение и экспертные мнения,0.5516,—
Создано уникальное оборудование для нанесения антибактериальных покрытий на хирургические нити,"Фото: Nazarenko LLC/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5381,—
Для лечения синдрома Барта одобрен первый препарат,"Фото: Shawn Hempel/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.5095,—
В России завершились доклинические испытания первого иммуноинженерного TRC‑препарата против рака молочной железы,"Фото: Debby Lowe/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5473,—
Кашель у детей и взрослых: как отличить норму от тревожных сигналов,"Фото: Pixel-Shot/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5285,—
В МИФИ создали тренажер для пациентов с ДЦП и реабилитации после инсульта и травм,"Фото: Minerva Studio/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.4892,—
«Моторика» вывела на рынок новый инновационный протез,"Фото: yurakrasil/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5468,—
Доля российских лекарств на фармрынке достигла 70%,"Фото: i viewfinder/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",Здравоохранение и экспертные мнения,0.4914,—
Маркировка медицинских изделий набирает обороты,"Фото: PaO_STUDIO/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.5213,—
«Инновационное предприятие Нова» начало серийный выпуск комплектующих для средств самоконтроля при диабете,"Фото: fi3/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shuttersto...",Здравоохранение и экспертные мнения,0.465,—
Во Франции из продажи изъяты мягкие сыры из-за двух случаев смерти от листериоза,"Фото: Rimma Bondarenko/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTOD...",Здравоохранение и экспертные мнения,0.5576,—
"Alkermes заключает сделку по приобретению Avadel за 2,1 млрд долларов США","Фото: CURAphotography/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODO...",Здравоохранение и экспертные мнения,0.5197,—
Johnson & Johnson планирует приобретение компании Protagonist Therapeutics,"Фото: SmartPhotoLab/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.5356,—
Зеленоградская площадка «Биннофарм Групп» наращивает экспортные поставки с зеленоградской площадки,"Фото: Vladeep/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutte...",Здравоохранение и экспертные мнения,0.5318,—
Eli Lilly получила права на препарат для лечения редкого заболевания глаз,"Фото: Life science/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/S...",—,0.4103,Низкая уверенность модели
Великобритания сокращает помощь на борьбу с инфекционными заболеваниями на 15%,"Фото: ImagePixel/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shu...",Здравоохранение и экспертные мнения,0.4857,—
Завод Фармасинтез‑Медтех обеспечит Россию качественным оборудованием для диализа,"Фото: TimeLineArtist/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5216,—
Андрей Каприн: В течение шести лет мы буквально каждый день синтезируем новые радиофармацевтические препараты,"Фото: Lijphoto/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutt...",Здравоохранение и экспертные мнения,0.5465,—
"Novartis заключила соглашение с Monte Rosa на сумму 5,7 млрд долларов США","Фото: Sutthicha Weerawong/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FO...",Здравоохранение и экспертные мнения,0.5628,—
Российское Общество Колоректальных Хирургов: комплексная борьба с колоректальными заболеваниями – от повышения квалификации врачей до просвещения пациентов,"Фото: Monkey Business Images/FOTODOM/Shutterstock 12–13 сентября 2025 годавАртёмесостоялась международная конференция Российского Общества Колоректальных Хирургов (РОКХ) «Форсаж», объединившая ведущих...",Общественное здоровье,0.6049,—
При реализации орфанного препарата Элапраза ФАС выявила антиконкурентное соглашение,"Фото: Michail Petrov/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM...",Здравоохранение и экспертные мнения,0.5581,—
"Индия проводит расследование по факту гибели детей, принимавших сироп от кашля","Фото: MOLPIX/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/Shutter...",Здравоохранение и экспертные мнения,0.4905,—
"Эксперты обсудили, как сделать отечественные инновации доступнее пациентам","Фото: Africa Studio/FOTODOM/Shutterstock Фото: PAJDJW/FOTODOM/Shutterstock Фото: Denis_Komarov/FOTODOM/Shutterstoсk М.М. Тлиш, М.Е. Шавилова;КубГМУ Возрастные изменения... Фото: Andrey Suslov/FOTODOM/...",Здравоохранение и экспертные мнения,0.4927,—
